"articles/title","articles/body"
"Сколько раз я могу использовать карту Tangem?","<p>Вы можете использовать карту Tangem бесчисленное множество раз. Ограничения по количеству входящих и исходящих транзакций отсутствуют.</p>"
"Какую сумму я могу хранить на карте Tangem?","<p>Ограничений нет. Вы можете хранить на карте любую сумму средств, которую пожелаете.</p>"
"В чем отличие между комплектами из 2 и 3 карт?","<p>Разница заключается только в количестве карт. Дополнительные карты нужны для создания бэкапа (резервного копирования). Сколько карт вы имеете в бэкапе (2 или 3) — столько в мире существует копий вашего приватного ключа. В случае утери или кражи одной из карт, резервные карты помогут восстановить доступ к кошельку.</p>"
"Могу ли я использовать все три карты для разных кошельков?","<p>С Tangem Wallet 1.0 вы можете использовать все три карты как три самостоятельных кошелька, но с Tangem Wallet 2.0 <span class=""notion-enable-hover"" data-token-index=""0"">создание бэкапа (резервной копии) на дополнительную карту обязательно</span>. Нужно учесть, что при потере карты без бэкапа (резервного копирования), вы потеряете доступ к вашему кошельку. Поэтому мы рекомендуем всё же создавать бэкап (резервное копирование) на дополнительные карты. Так, в случае утери или кражи одной из карт, резервные карты помогут восстановить доступ к кошельку, а код доступа — предотвратить перевод ваших средств злоумышленником.</p>"
"Можно ли использовать один кошелек на нескольких устройствах?","<p>Да, вы можете использовать кошелек одновременно на неограниченном количестве устройств. Сам телефон не хранит какие-либо активы, он только играет роль дисплея, отображая определенные данные для определенного пользователя на своем экране. Карта, в свою очередь, хранит приватные ключи и подписывает транзакции.</p>"
"Какие отличия между Tangem Note и Tangem Wallet?","<p>Основные отличия между Tangem Wallet и Tangem Note:<br>1. Поддерживаемые криптовалюты. Tangem Note - одновалютный кошелек, который предназначен для хранения одной криптовалюты. Tangem Wallet, напротив, является мультивалютным кошельком и поддерживает тысячи различных криптовалют.<br>2. Резервная копия. Tangem Note — это одна физическая карта, поэтому не имеет функции резервного копирования и защиты кодом доступа. Tangem Wallet, в отличие от Tangem Note, продается в комплекте из 2 или 3 карт. При активации карт вы можете создать резервные копии ключей на дополнительных картах.</p>"
"Можно ли создать бэкап (резервную копию) для Tangem Note? ","<p>Tangem Note — это одна карта, поэтому не имеет функции резервного копирования и защиты кодом доступа.</p>
<p>Tangem Note отлично подойдет для начинающих владельцев криптовалюты, а также в подарок или для передачи криптовалюты из рук в руки.</p>"
"Где зарегистрирована компания?","<p>Tangem зарегистрирована в Цуге, Швейцария.</p>"
"Когда появились в продаже первые карты?","<p>В 2017-2021 гг. Tangem по большей части работала на B2B-рынке (например, мы поставляем карты для популярных XRPL-кошельков XUMM). На B2C-рынок под своим брендом компания Tangem перешла в конце 2021 года, тогда же и появился Tangem Wallet.</p>"
"Где можно узнать о новостях и обновлениях кошелька?","<p>За всеми новостями вы можете следить в наших социальных сетях: <a class=""notion-link-token notion-focusable-token notion-enable-hover"" tabindex=""0"" href=""https://twitter.com/tangem"" rel=""noopener noreferrer"" data-token-index=""1""><span class=""link-annotation-unknown-block-id--893964346"">Twitter</span></a>, <a class=""notion-link-token notion-focusable-token notion-enable-hover"" tabindex=""0"" href=""https://t.me/tangem_russia"" rel=""noopener noreferrer"" data-token-index=""3""><span class=""link-annotation-unknown-block-id--883883874"">Telegram</span></a>, <a class=""notion-link-token notion-focusable-token notion-enable-hover"" tabindex=""0"" href=""https://www.instagram.com/tangemrussia/"" rel=""noopener noreferrer"" data-token-index=""5""><span class=""link-annotation-unknown-block-id--1564805194"">Instagram</span></a>, <a class=""notion-link-token notion-focusable-token notion-enable-hover"" tabindex=""0"" href=""https://discord.com/invite/7AqTVyqdGS"" rel=""noopener noreferrer"" data-token-index=""7""><span class=""link-annotation-unknown-block-id--705868202"">Discord</span></a>, <a class=""notion-link-token notion-focusable-token notion-enable-hover"" tabindex=""0"" href=""https://www.facebook.com/profile.php?id=100084222466637"" rel=""noopener noreferrer"" data-token-index=""9""><span class=""link-annotation-unknown-block-id--1919549193"">Facebook</span></a>, <a class=""notion-link-token notion-focusable-token notion-enable-hover"" tabindex=""0"" href=""https://vk.com/tangem"" rel=""noopener noreferrer"" data-token-index=""11""><span class=""link-annotation-unknown-block-id--95594810"">VK</span></a>. Подписывайтесь, чтобы всегда быть в курсе свежих новостей!</p>"
"В чем разница между сериями карт?","<p>АСхх — это просто партия производства. Tangem производит карты частями, как только кончается сток, производит ещё. Функциональные возможности между партиями отсутствуют, поэтому причин для беспокойства нет, поскольку они идентичны.</p>"
"Есть ли реферальная программа? Какие условия реферальной программы? Как получить реферальную ссылку?","<p>В приложении Tangem есть реферальная программа: ваши друзья могут купить Tangem Wallet со скидкой 10%, а вы получите 5 USDT за каждого.<br>Чтобы получить реферальную ссылку:<br>1. Откройте приложение Tangem и перейдите в раздел «Подробности».<br>2. Выберите пункт «Реферальная программа».<br>3. Прочитайте условия и нажмите кнопку «Участвовать».<br>4. Введите код доступа и отсканируйте карту.<br>После этого будет сгенерирован уникальный код, а на главном экране появятся, если еще не были добавлены, токены Tron (TRX) и USDT (токен сети Tron) для зачисления вознаграждения.<br>Код можно просто переслать друзьям, а можно отправить им ссылку, в которую он уже будет зашит. Через 30 дней после того, как приглашенный купит на нашем сайте Tangem Wallet, вам будет начислено 5 USDT.</p>"
"Какие криптовалюты можно хранить в Tangem Wallet?","<p>С Tangem Wallet вы можете хранить тысячи криптовалют. Полный список поддерживаемых криптовалют можно посмотреть в приложении Tangem, даже не имея карты.</p>"
"Какие сети поддерживаются в Tangem Wallet?","<p>Tangem Wallet поддерживает 38 сетей: Arbitrum, Avalanche C-Chain, Azero, BNB Beacon Chain, BNB Smart Chain, Bitcoin, Bitcoin Cash, Cardano, Chia, Cosmos, Cronos, Dash, Dogecoin, Ethereum, Ethereum Classic, Ethereum Fair, Ethereum PoW, Fantom Opera, Gnosis, Kaspa, Kava EVM, Kusama, Litecoin, NEAR Protocol, OctaSpace, Optimistic Ethereum, Polkadot, Polygon, Ravencoin, RSK, Ripple, Solana, Stellar, Tezos, Terra, Terra Classic, Ton, TRON, </p>"
"Какие криптовалюты можно хранить в Tangem Wallet?","<p>С Tangem Wallet вы можете хранить тысячи криптовалют. Полный список поддерживаемых криптовалют можно посмотреть в приложении Tangem, даже не имея карты.</p>"
"Какие сети поддерживаются в Tangem Wallet?","<p>Tangem Wallet поддерживает 38 сетей: Arbitrum, Avalanche C-Chain, Azero, BNB Beacon Chain, BNB Smart Chain, Bitcoin, Bitcoin Cash, Cardano, Chia, Cosmos, Cronos, Dash, Dogecoin, Ethereum, Ethereum Classic, Ethereum Fair, Ethereum PoW, Fantom Opera, Gnosis, Kaspa, Kava EVM, Kusama, Litecoin, NEAR Protocol, OctaSpace, Optimistic Ethereum, Polkadot, Polygon, Ravencoin, RSK, Ripple, Solana, Stellar, Tezos, Terra, Terra Classic, Ton, TRON, </p>"
"Какие криптовалюты можно хранить в Tangem Wallet?","<p>С Tangem Wallet вы можете хранить тысячи криптовалют. Полный список поддерживаемых криптовалют можно посмотреть в приложении Tangem, даже не имея карты.</p>"
"Какие сети поддерживаются в Tangem Wallet?","<p>Tangem Wallet поддерживает 38 сетей: Arbitrum, Avalanche C-Chain, Azero, BNB Beacon Chain, BNB Smart Chain, Bitcoin, Bitcoin Cash, Cardano, Chia, Cosmos, Cronos, Dash, Dogecoin, Ethereum, Ethereum Classic, Ethereum Fair, Ethereum PoW, Fantom Opera, Gnosis, Kaspa, Kava EVM, Kusama, Litecoin, NEAR Protocol, OctaSpace, Optimistic Ethereum, Polkadot, Polygon, Ravencoin, RSK, Ripple, Solana, Stellar, Tezos, Terra, Terra Classic, Ton, TRON, </p>"
"Где хранится криптовалюта?","<p>Физически криптовалюта хранится в распределенных базах данных — блокчейнах. На карте Tangem хранятся приватные ключи для доступа к адресам в блокчейне.</p>"
"Где хранятся ключи от кошелька?","<p>При активации карты создаются ключи кошелька, которые необходимы, чтобы распоряжаться своими средствами. Ключи никогда не покидают чип после активации кошелька и никуда не передаются. Главная задача чипа — это хранить их в целости и сохранности.</p>"
"Как генерируются ключи кошелька?","<p>Ключ генерируется на карте с помощью аппаратного генератора случайных чисел во время активации карты. Энтропия для случайного числа берется из физических датчиков в чипе, что означает никто и никогда не узнает ваш приватный ключ. Аппаратный генератор случайных чисел является компонентом чипа Samsung. С документом по оценке безопасности вы можете ознакомиться по <a class=""notion-link-token notion-enable-hover"" href=""https://www.commoncriteriaportal.org/files/epfiles/anssi-cible-cc-2018_12en.pdf"" target=""_blank"" rel=""noopener noreferrer"" data-token-index=""1""><span class=""link-annotation-unknown-block-id--1405227236"">ссылке</span></a>.</p>"
"Каким образом происходит клонирование приватного ключа на резервные карты?","<p>При создании бэкапа (резервного копирования) между картами устанавливается защищенный канал общения по протоколу Диффи-Хеллмана, после чего ключи передаются с одной карты на другую. Этот механизм полностью защищен от атаки Man-in-the-Middle, так как первым этапом карты аутентифицируют друг друга двусторонней аттестацией, а само шифрование происходит с помощью 256-битного ключа. Стойкость шифрования максимальная, и приложение не сможет расшифровать ключи ни при каких условиях.</p>"
"Есть ли в кошельке сид-фраза?","<p>Tangem не использует технологию BIP39 (seed-фразу), поскольку считает это небезопасным. Наличие ключа в открытом виде — потенциальная уязвимость. Во-первых, горячие и «теплые» кошельки всегда имеют доступ к ключу, следовательно, их можно взломать. Во-вторых, наличие ключа в открытом виде дома, на работе или еще где-то всегда потенциальный риск его компрометации. Вместо этого Tangem предлагает бэкап (резервное копирование) на 2 либо 3 одинаковые карты. Карты хранят в себе ключи и никогда никому их не выдают, а сами карты защищены кодом доступа. Таким образом, у вас есть 2 или 3 одинаковых ключа от одного сейфа (вашего кошелька). Они полностью равноправны, вы можете хранить их в разных местах и пользоваться любым из них. И самое главное, ключи никогда не были в открытом виде. Ни баг, ни уязвимость в софте не могут разоблачить ключ в момент его генерации. Это максимально безопасно и надежно.</p>"
"Как узнать свой приватный ключ?","<p>В основе карты лежит чип, который во время создания кошелька генерирует приватный ключ с помощью аппаратного генератора случайных чисел. Энтропия для случайного числа берется из физических датчиков в чипе. Ключ никогда не покидает чип в открытом виде, а также после активации кошелька. Главная задача чипа — это хранить его в целости и сохранности. Таким образом, никто и никогда не узнает ваш приватный ключ. Cекрет находится в безопасности, даже от вас.</p>"
"Где гарантия, что производитель не знает ключ?","<p>Карта не имеет приватного ключа изначально. Ключ генерируется с помощью аппаратного генератора случайных чисел в момент создания кошелька и прикладывания карты к устройству. Более того, если сбросить карту до заводских настроек и заново создать кошелек, публичный и приватный ключи будут сгенерированы заново. Прошивка прошла аудит независимой швейцарской компании Kudelski Security. Аудит прошивки подтверждает, что приватный ключ создается с помощью аппаратного генератора случайных чисел, а также отсутствие других бэкдоров или ошибок, которые могут привести к потере средств. Результаты аудита Kudelski Security доступны <a class=""notion-link-token notion-enable-hover"" href=""https://research.kudelskisecurity.com/2018/08/06/audit-of-tangems-smartcard-wallet-code/"" target=""_blank"" rel=""noopener noreferrer"" data-token-index=""1""><span class=""link-annotation-unknown-block-id-287951818"">здесь</span></a>.</p>"
"Зачем нужны 2–3 карты?","<p>Дополнительные карты нужны для создания бэкапа (резервного копирования). Сколько карт вы имеете в бэкапе (2 или 3) — столько в мире существует копий вашего приватного ключа. В случае утери или кражи одной из карт, резервные карты помогут восстановить доступ к кошельку.</p>"
"Сколько максимум карт можно привязать к кошельку?","<p>Максимальное количество карт, которые могут быть одном бэкапе (резервном копировании), — 3.</p>"
"Есть ли разница между «основной» и «резервными» картами?","<p>Все карты из бэкапа (резервного копирования) между собой равнозначны и имеют доступ к единому кошельку.</p>"
"Почему можно только один раз привязывать резервные карты?","<p>Cоздание резервного копирования, а также клонирование приватного ключа возможно только единожды в целях безопасности. Таким образом, вы уверены в количестве копий вашего приватного ключа.</p>
<p>Так как функционирование карт происходит без использования серверов компании, карты друг о друге ничего не знают. Лишь при создании резервного копирования приватный ключ копируется на выбранное вами количество карт (2 или 3).</p>
<p>Если резервные карты можно было привязывать неоднократно, злоумышленник мог бы сделать копии вашей карты без вашего ведома.</p>"
"Что будет, если я потеряю Tangem Note?","<p>Поскольку карты Tangem Note не имеют опции бэкапа и фактически их можно сравнить с фиатными деньгами, вы можете управлять криптовалютой, пока владеете картой. При потере такой карты управлять средствами будет невозможно.</p>"
"Если карту Tangem Note украли, может ли 3-е лицо получить доступ к средствам?","<p>Карты Tangem Note не имеют опции бэкапа (резервного копирования) и, соответственно, защиты кодом доступа. По этой причине карты можно сравнить с традиционными банкнотами: кто владеет картой — тот имеет доступ к кошельку. Поэтому, как и традиционные банкноты, карты должны постоянно находиться в физической безопасности.</p>"
"Что будет, если я потеряю Tangem Wallet?","<p>Tangem Wallet включает в себя комплект из 2 либо 3 карт, поэтому при активации карт вы можете создать резервные копии ключа на дополнительных картах. Резервные карты помогут вам восстановить доступ к кошельку в случае потери одной из карт.</p>"
"Как восстановить доступ, если я потеряю все карты из резервного копирования?","<p>Потеря всех карт из бэкапа ведет к потере ваших средств. Доступ к кошельку имеют только ваши карты. Сколько карт вы имеете в бэкапе (2 или 3) — столько в мире существует копий вашего приватного ключа. Поэтому мы рекомендуем хранить карты в разных местах. Если одна карта утеряна/украдена, вы можете купить новый комплект карт и перевести средства на него.</p>"
"Если карту Tangem Wallet украли, может ли 3-е лицо получить доступ к средствам?","<p>Третье лицо сможет получить доступ к кошельку только в том случае, если ваши карты не связаны между собой (вы не делали резервных копий). В этом случае защита кодом доступа недоступна: она появляется только когда вы привязываете к одному кошельку две или три карты.</p>
<p>Поэтому мы рекомендуем сделать резервные копии до пополнения кошелька. Тогда ваши средства будут защищены кодом доступа. При этом, карта имеет защиту от перебора кода доступа (брутфорса). После шести неудачных попыток ввода кода, время задержки для следующей попытки увеличивается на 1 секунду. Максимальное время задержки — 45 секунд. Задержка сбрасывается только после успешного ввода кода доступа.</p>"
"Если мой телефон утерян/сломался, я потеряю доступ к средствам?","<p>Нет, в таком случае вы не теряете доступ к средствам. Вы можете получить доступ к своему кошельку через любое другое мобильное устройство, используя свои карты. Сам телефон не хранит какие-либо активы, он только играет роль дисплея, отображая определенные данные для определенного пользователя на своем экране. Карта, в свою очередь, хранит приватные ключи и подписывает ваши транзакции. Все, что вам нужно сделать, это установить приложение Tangem на свой новый телефон и отсканировать карту.</p>"
"Если я потеряю одну карту из бэкапа, могу докупить еще комплект и привязать к уже существующему кошельку?","<p>Поскольку создание бэкапа (резервной копии) и клонирование приватного ключа возможно только один раз, то привязать новые карты к уже существующему бэкапу не получится. После покупки нового комплекта вам нужно будет перевести средства на новый кошелек.</p>"
"Можно ли заблокировать потерянную карту?","<p>Такая функциональность не предусмотрена. После создания бэкапа все карты из связки имеют единый приватный ключ и становятся равнозначными, поэтому нет технически возможности идентифицировать, какая именно карта была утеряна.</p>
<p>При активации карты и создании бэкапа (резервного копирования) вы защищаете каждую своим пользовательским паролем.</p>
<p>При этом карта имеет защиту от перебора кода доступа (брутфорса). После шести неудачных попыток ввода кода, время задержки для следующей попытки увеличивается на 1 секунду. Максимальное время задержки — 45 секунд. Задержка сбрасывается только после успешного ввода кода доступа.</p>"
"Какие персональные данные собирает компания?","<p>Tangem не отслеживает входящие и исходящие транзакции. Мы никогда не собираем адреса кошельков, личные данные пользователей или любую другую информацию, которая может идентифицировать пользователей или телефоны пользователей.</p>"
"Хранит ли приложение Tangem данные о пользователе?","<p>Приложение не хранит ни персональные данные пользователя, ни какую-либо другую информацию, которая может идентифицировать пользователя или телефон пользователя.</p>"
"Распространяются ли европейские санкции на кошелек?","<p>Нет, подобные санкции не влияют на работу кошелька, так как Tangem ничего не знает о своих пользователях. Нет никакой регистрации, верификации, мы не знаем вашу геопривязку, гражданство и т. д. Это холодный кошелек, и ключи находятся только в вашем распоряжении.</p>"
"Каким образом Tangem Wallet является холодным кошельком? Какой принцип работы кошелька?","<p>По определению, холодный кошелек — это хранилище для криптовалюты, которое не подключено к интернету. В кошельках Tangem приватный ключ генерируется в момент создания кошелька и прикладывания карты к устройству с помощью аппаратного генератора случайных чисел и хранится на карте, которая по своей природе отключена от интернета. При этом приватный ключ никогда не покидает карту. Главная суть кошелька — безопасное хранение приватного ключа. Приложение представляет собой всего лишь пользовательский интерфейс для общения карт напрямую с блокчейном.</p>"
"Может ли компания Tangem заблокировать доступ к кошельку?","<p>Tangem не имеет собственных серверов, которые связаны с блокчейнами. Приложение Tangem работает с ними напрямую. Поэтому мы никак не можем вмешаться в его работу. Философия Tangem заключается в предоставлении пользователям только технологического решения для работы с криптоактивами. Схема работы кошелька выглядит так: Карта &lt;-&gt; Приложение &lt;-&gt; Блокчейн.</p>
<p>Кроме этого, у нас нет регистрации или верификации пользователей, мы не знаем их геопозицию, гражданство и т. п. Поэтому мы не можем выделить конкретного пользователя, чтобы заблокировать ему доступ к кошельку (даже если бы такая возможность и была). Все, что мы можем гипотетически узнать, — ваш IP-адрес. Но при необходимости адрес можно изменить при помощи VPN.</p>
<p>Плюс ко всему, наше приложение имеет открытый исходный код, который выложен на <a class=""notion-link-token notion-enable-hover"" href=""https://github.com/Tangem"" target=""_blank"" rel=""noopener noreferrer"" data-token-index=""1""><span class=""link-annotation-unknown-block-id--913859464"">GitHub</span></a>. При наличии определенных навыков, любой желающий может самостоятельно изучить его, убедиться в безопасности и скомпилировать приложение.</p>"
"Насколько это безопасно и надежно? Что делать, если карта Tangem перестанет работать?","<p>Tangem Wallet — это высокозащищенный и надежный криптовалютный кошелек. Чип в карте — это микрокомпьютер, который генерирует приватный ключ. При этом приватный ключ никогда не покидает карту. Мы приложили все усилия, чтобы доказать это:</p>
<p>• Самый высокий уровень сертификации среди прямых конкурентов, гарантирующий отсутствие бэкдоров — <a class=""notion-link-token notion-enable-hover"" href=""https://www.ssi.gouv.fr/uploads/2022/01/certificat-anssi-cc-2021_66.pdf"" target=""_blank"" rel=""noopener noreferrer"" data-token-index=""0""><span class=""link-annotation-unknown-block-id--1738514586"">EAL6+ по стандарту Common Criteria</span></a>. Такой же уровень защиты чипа используется в паспортах.</p>
<p>• Прошивка прошла аудит независимой швейцарской компании Kudelski Security.</p>
<p>• Единственный аппаратный кошелек с максимально возможной степенью защиты от внешних условий — IP68. Он полностью защищен от пыли, воды и попыток взлома.</p>
<p>• Карта достаточно прочная, чтобы работать при температурах от -25℃ (-13℉) до +50℃ (122℉). Вы можете даже положить ее в снег без последствий для работы.</p>
<p>• Чип способен подписать бесконечное количество транзакций на протяжении более 25 лет.</p>
<p>• Чип дополнительно защищен от ЭМИ (импульс электромагнитного поля), ЭСР (электростатический разряд), рентгеновского излучения в соответствии со стандартом ISO 7816–1.</p>
<p>Более того, с 2017 года мы выпустили более 800 000 карт — не было ни одного брака и все карты функционируют до сих пор.</p>"
"Какой срок cлужбы у карты?","<p>Срок службы карт — минимум 25 лет, который гарантирует Samsung, производитель чипа. Техническая информация о чипе доступна на сайте Samsung по <a class=""notion-link-token notion-enable-hover"" href=""https://semiconductor.samsung.com/security-solution/payment/part-number/s3d350a/"" target=""_blank"" rel=""noopener noreferrer"" data-token-index=""1""><span class=""link-annotation-unknown-block-id-502383228"">ссылке</span></a>.</p>"
"Что будет с картой при воздействии мощного магнитного поля, например в аппарате МРТ? Какая вероятность, что кошелек размагнитится и перестанет работать?","<p>Чип не содержит магнитных элементов, которые могут размагнититься. Более того, чип карты Tangem защищен от ЭМИ (импульс электромагнитного поля), а также ЭСР (электростатический разряд) и рентгеновского излучения в соответствии со стандартом ISO 7816–1.</p>"
"Будет ли работать карта, если компания Tangem перестанет существовать? Использует ли Tangem свои сервера?","<p>Несмотря на то, что компания Tangem не собирается прекращать свою деятельность (работаем бесперебойно с 2017 года), на случай, если что-то произойдет, карты и приложение Tangem всё равно продолжат действовать.</p>
<p>Приложение Tangem использует сервера компании для подтверждения подлинности карты, для синхронизации списка добавленных токенов между картами комплекта, а также для подсчета стоимости криптовалюты в вашем кошельке. Без этих сервисов вы все равно сможете пользоваться вашими картами Tangem, пусть и с меньшим удобством. Более подробно можно почитать в нашем блоге по <a class=""notion-link-token notion-enable-hover"" href=""https://tangem.com/ru/blog/post/after-the-apocalypse-how-tangem-wallet-will-function-without-tangem/"" target=""_blank"" rel=""noopener noreferrer"" data-token-index=""1""><span class=""link-annotation-unknown-block-id-1444095254"">ссылке</span></a>.</p>"
"Что будет, если приложение больше не будет доступно для скачивания в App Store/Google Play?","<p>Ранее установленное на устройство приложение будет доступно, если возможность скачивания из App Store/Google Play исчезнет.</p>
<p>Приложение работает независимо от серверов компании Tangem и продолжит работу, даже если компания все выключит. Вы также всегда сможете скачать приложение на <a class=""notion-link-token notion-enable-hover"" href=""https://github.com/tangem/tangem-binaries/raw/master/app-release.apk"" target=""_blank"" rel=""noopener noreferrer"" data-token-index=""1""><span class=""link-annotation-unknown-block-id--249423445"">GitHub</span></a>.</p>
<p>Более того, приложение Tangem open source, исходный код которого опубликован на <a class=""notion-link-token notion-enable-hover"" href=""https://github.com/Tangem"" target=""_blank"" rel=""noopener noreferrer"" data-token-index=""3""><span class=""link-annotation-unknown-block-id--913859464"">GitHub</span></a>. Это означает, что у вас есть приложение в открытом виде, код которого вы можете проверить и даже самостоятельно собрать при небольших навыках. Более подробно можно прочитать в нашем <a class=""notion-link-token notion-enable-hover"" href=""https://tangem.com/ru/blog/post/after-the-apocalypse-how-tangem-wallet-will-function-without-tangem/"" target=""_blank"" rel=""noopener noreferrer"" data-token-index=""5""><span class=""link-annotation-unknown-block-id-1444095254"">блоге</span></a>.</p>"
"Можно ли установить разные коды доступа для каждой из карт в бэкапе?","<p>По умолчанию во время создания бэкапа (резервного копирования) создается одинаковый код доступа для всех карт. После вы можете задать разные коды доступа для каждой карты в разделе «Подробности» — «Настройки карты» — «<span class=""notion-enable-hover"" data-token-index=""0"">Смена кода доступа</span>».</p>"
"Можно ли установить код доступа на Tangem Note?","<p>В отличие от Tangem Wallet, Tangem Note — это одна карта, поэтому не имеет функции резервного копирования и защиты паролем.</p>
<p>Tangem Note отлично подойдет для начинающих владельцев криптовалюты, а также в подарок или для передачи крипты из рук в руки.</p>"
"Можно ли установить код доступа без создания бэкапа?","<p>Код доступа можно установить, только если создан бэкап (резервное копирование). Это сделано для того, чтобы вы не потеряли доступ к кошельку в случае утери кода доступа. Так, если вы забыли код доступа на картах с бэкапом, вы можете сбросить код на этой карте, имея вторую карту из бэкапа.</p>"
"Есть ли защита от перебора кода доступа (брутфорса)?","<p>Карта имеет защиту от брутфорса (перебора кода доступа). После шести неудачных попыток ввода кода, время задержки для следующей попытки увеличивается на 1 секунду. Максимальное время задержки — 45 секунд. Задержка сбрасывается только после успешного ввода кода доступа.</p>"
"Как удостовериться, что купил оригинальную карту?","<p>Карту нельзя модифицировать ни с точки зрения программного обеспечения, ни физически, так как внутри карты монолитный чип.</p>
<p>Официальное приложение может безошибочно проверить:</p>
<p>— что карта была действительно произведена компанией Tangem;</p>
<p>— что карта прошита программным обеспечением компании Tangem.</p>
<p>Благодаря end-to-end аттестации полностью безопасно покупать даже в переходе. Главное, обратите внимание, что:</p>
<p>1. Вы установили официальное приложение Tangem.</p>
<p>2. Карты должны предложить вам создать кошелёк. Если нет — сбросьте карты к заводским настройкам.</p>"
"Как понять, что мне пришла чистая, никем ранее не использованная, карта?","<p>При активации карты должны предложить вам создать кошелёк. Если нет — сбросьте карты к заводским настройкам и создайте кошелек. Таким образом будут сгенерированы новые публичный и приватный ключи.</p>"
